1000
0.7184712225  0.5851534889   0.0066184566
0.5745036395  0.3257923518   0.7636144151
0.1312158332  0.2114293938   0.1774475539
0.7440272625  0.4793099429   0.1413583040
0.6824591044  0.1050916897   0.6443743551
0.8716269237  0.0785193560   0.3049663979
0.2543969054  0.3500792298   0.5401253876
0.3842138362  0.8380330989   0.7405452744
0.8604930983  0.2440381000   0.9288277824
0.4698598425  0.5461859249   0.0848335606
0.6767477562  0.7619627856   0.1049326190
0.7641820530  0.5920418415   0.3843296986
0.6001124619  0.3510056177   0.1871107375
0.0782546655  0.2613482920   0.6665580777
0.0687980754  0.3270688041   0.9011660285
0.7413716597  0.4043999055   0.0553919228
0.4497031505  0.5215517688   0.4400795767
0.2288772864  0.2129985974   0.3632773840
0.1125564016  0.6709881896   0.8515819656
0.3557021680  0.3967239835   0.2680980969
0.9869102008  0.4027114664   0.0767690068
0.3106580267  0.5400108708   0.5454218178
0.2506896789  0.6887728429   0.7379767213
0.3372030899  0.4445460608   0.0487503535
0.0181875240  0.0086094817   0.0327773611
0.3179892360  0.3050528136   0.1212409247
0.7861354632  0.1540314353   0.3375076625
0.4075024184  0.5684899942   0.7007246639
0.2023653354  0.9885797458   0.7968168052
0.5716395700  0.2719771882   0.1345561219
0.2114262053  0.5665148954   0.2242909835
0.3384232729  0.5078218667   0.6435003441
0.0913533313  0.1762959997   0.9462814935
0.6010053725  0.5998428889   0.2184311486
0.5362786929  0.1422571704   0.5820616644
0.8992058372  0.5011078837   0.6711913957
0.9634811212  0.3189394447   0.6061486816
0.7576416029  0.5909530854   0.1425806880
0.2629073069  0.3116285722   0.7493159926
0.0880770406  0.1640221438   0.6894270151
0.2227593211  0.5290593014   0.6671678617
0.4210221750  0.0486987460   0.6837665806
0.4476106712  0.3836750802   0.5646365652
0.0011390361  0.2678782283   0.8430831096
0.1775972305  0.5970378099   0.6286297212
0.7983172681  0.2852538897   0.4461516823
0.8288143026  0.2482552906   0.3590835197
0.3043679874  0.2470913749   0.5601419466
0.5898638638  0.9488294649   0.7038060087
0.9384808793  0.8842016124   0.8780711930
0.8456323971  0.4302162534   0.8111255937
0.6663387804  0.6475541478   0.8948968541
0.0860163928  0.4664263623   0.7459279004
0.2733557261  0.5052116129   0.0740836572
0.8761921918  0.1943723421   0.2674547827
0.4548027522  0.4790496316   0.1532588708
0.7676010276  0.7956311016   0.0626877730
0.0831039962  0.6250001043   0.1160996877
0.2262206518  0.9413442584   0.2190498984
0.1270714544  0.9879284447   0.2522017950
0.1692853056  0.0621459032   0.6934181818
0.8559410630  0.5830110381   0.7010627051
0.2447002797  0.2133235941   0.9220013204
0.2363791892  0.6464987346   0.5367763692
0.8408512396  0.3791980035   0.0032426521
0.1412742232  0.7047705156   0.7489609354
0.0956806851  0.8852044358   0.3949013409
0.4425405739  0.1545507310   0.1072263226
0.7746885155  0.1055844523   0.2492272960
0.5256000644  0.8549232238   0.2465192455
0.5941831547  0.0890075097   0.5040350233
0.2764171705  0.9028594062   0.3236524902
0.3308589900  0.3475985133   0.3585805368
0.8453253808  0.6945007292   0.9643269870
0.3670519463  0.4807073579   0.7638853635
0.6740160119  0.0077820242   0.5757987181
0.5468261044  0.4574820892   0.1201405727
0.8298368597  0.6731505239   0.1695178294
0.7023726756  0.6228930800   0.6676304949
